< GPS_RAW_INT {time_usec : 345563000, fix_type : 6, lat : -353627550, lon : 1491645811, alt : 606470, eph : 121, epv : 200, vel : 1007, cog : 31209, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 345763000, fix_type : 6, lat : -353627429, lon : 1491645647, alt : 606460, eph : 121, epv : 200, vel : 1006, cog : 31209, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 345963000, fix_type : 6, lat : -353627308, lon : 1491645482, alt : 606460, eph : 121, epv : 200, vel : 1005, cog : 31210, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 346363000, fix_type : 6, lat : -353627065, lon : 1491645153, alt : 606460, eph : 121, epv : 200, vel : 1004, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 346563000, fix_type : 6, lat : -353626944, lon : 1491644988, alt : 606460, eph : 121, epv : 200, vel : 1004, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 346763000, fix_type : 6, lat : -353626823, lon : 1491644825, alt : 606460, eph : 121, epv : 200, vel : 1004, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 346963000, fix_type : 6, lat : -353626702, lon : 1491644661, alt : 606460, eph : 121, epv : 200, vel : 1003, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 347363000, fix_type : 6, lat : -353626461, lon : 1491644332, alt : 606460, eph : 121, epv : 200, vel : 1002, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 347563000, fix_type : 6, lat : -353626340, lon : 1491644169, alt : 606460, eph : 121, epv : 200, vel : 1002, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 347763000, fix_type : 6, lat : -353626219, lon : 1491644006, alt : 606460, eph : 121, epv : 200, vel : 1002, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
