time_usec,lat,lon,alt,record_type,event
387363000,-35.3618201,149.163178,606.44,gps,
387563000,-35.3618201,149.163178,606.44,gps,
387763000,-35.3618201,149.163178,606.44,gps,
387963000,-35.3618201,149.163178,606.44,gps,
388363000,-35.3618201,149.163178,606.44,gps,
388563000,-35.3618201,149.163178,606.44,gps,
388763000,-35.3618201,149.163178,606.44,gps,
388963000,-35.3618201,149.163178,606.44,gps,
389363000,-35.3618201,149.163178,606.45,gps,
389563000,-35.3618201,149.163178,606.45,gps,
389763000,-35.3618201,149.163178,606.45,gps,
389963000,-35.3618201,149.163178,606.45,gps,
390363000,-35.3618201,149.163178,606.45,gps,
390563000,-35.3618201,149.163178,606.45,gps,
390763000,-35.3618201,149.163178,606.45,gps,
390963000,-35.3618201,149.163178,606.45,gps,
391363000,-35.3618201,149.163178,606.45,gps,
391563000,-35.3618202,149.163178,606.45,gps,
391763000,-35.3618202,149.163178,606.45,gps,
391963000,-35.3618202,149.163178,606.45,gps,
392363000,-35.3618202,149.163178,606.45,gps,
392563000,-35.3618202,149.163178,606.45,gps,
392763000,-35.3618202,149.163178,606.45,gps,
392963000,-35.3618202,149.163178,606.45,gps,
393363000,-35.3618202,149.163178,606.45,gps,
393563000,-35.3618202,149.163178,606.45,gps,
393763000,-35.3618202,149.163178,606.45,gps,
393963000,-35.3618202,149.163178,606.45,gps,
394363000,-35.3618202,149.163178,606.45,gps,
394563000,-35.3618202,149.1631779,606.45,gps,
394763000,-35.3618202,149.1631779,606.45,gps,
394963000,-35.3618202,149.1631779,606.45,gps,
395363000,-35.3618202,149.1631779,606.45,gps,
395563000,-35.3618202,149.1631779,606.45,gps,
395763000,-35.3618202,149.1631779,606.45,gps,
395963000,-35.3618202,149.1631779,606.45,gps,
396363000,-35.3618202,149.1631779,606.45,gps,
396563000,-35.3618202,149.1631779,606.45,gps,
396763000,-35.3618202,149.1631779,606.45,gps,
396963000,-35.3618202,149.1631779,606.45,gps,
397363000,-35.3618202,149.1631779,606.45,gps,
397563000,-35.3618202,149.1631779,606.45,gps,
397763000,-35.3618202,149.1631779,606.45,gps,
